Link	Nome	Título	Área	Tipo	Unidade	Ano
https://www.teses.usp.br/teses/disponiveis/100/100131/tde-13042020-190752/?&lang=pt-br	Albuquerque, Otavio de Paula	Proposta de ferramenta de controle parental para brinquedos inteligentes baseada...	Metodologia e Técnicas da Computação	Dissertação de Mestrado	Escola de Artes, Ciências e Humanidades	2020
https://www.teses.usp.br/teses/disponiveis/100/100131/tde-27012021-190757/?&lang=pt-br	Alflen, Naiara Crislaine	Análise da participação da equipe e do uso combinado de técnicas de elicitação de...	Metodologia e Técnicas da Computação	Dissertação de Mestrado	Escola de Artes, Ciências e Humanidades	2020
https://www.teses.usp.br/teses/disponiveis/100/100131/tde-20062021-211101/?&lang=pt-br	Almeida, Wallace Faveron de	Técnicas de aprendizado de máquina para interfaces cérebro-computador baseadas em...	Metodologia e Técnicas da Computação	Dissertação de Mestrado	Escola de Artes, Ciências e Humanidades	2021
http://www.teses.usp.br/teses/disponiveis/100/100131/tde-21052018-152551/?&lang=pt-br	Alves, Pedro Yuri Araujo Lima	Problema de estoque e roteirização com demanda estocástica e janelas de tempo: uma...	Metodologia e Técnicas da Computação	Dissertação de Mestrado	Escola de Artes, Ciências e Humanidades	2018
http://www.teses.usp.br/teses/disponiveis/100/100131/tde-30102018-145151/?&lang=pt-br	Amâncio, Fernanda Maria Pinheiro	Percepção sobre segurança e privacidade infantil em relação a brinquedos inteligentes:...	Metodologia e Técnicas da Computação	Dissertação de Mestrado	Escola de Artes, Ciências e Humanidades	2018
http://www.teses.usp.br/teses/disponiveis/100/100131/tde-23042018-160352/?&lang=pt-br	Amaral, Claudio Aparecido Lira do	Seleção de atributos para mineração de processos na gestão de incidentes	Metodologia e Técnicas da Computação	Dissertação de Mestrado	Escola de Artes, Ciências e Humanidades	2018
https://www.teses.usp.br/teses/disponiveis/100/100131/tde-07112022-170905/?&lang=pt-br	Amorim, Thiago Kobashigawa	Proposta de um sistema CBIR baseado em ordem	Metodologia e Técnicas da Computação	Dissertação de Mestrado	Escola de Artes, Ciências e Humanidades	2022
https://www.teses.usp.br/teses/disponiveis/100/100131/tde-08062021-164759/?&lang=pt-br	Andrade, Leonardo de	Identificação de quebras de diálogos em sistemas de chatbots	Metodologia e Técnicas da Computação	Dissertação de Mestrado	Escola de Artes, Ciências e Humanidades	2021
http://www.teses.usp.br/teses/disponiveis/100/100131/tde-24072017-083504/?&lang=pt-br	Aranha, Renan Vinicius	EasyAffecta: um framework baseado em Computação Afetiva para adaptação automática...	Metodologia e Técnicas da Computação	Dissertação de Mestrado	Escola de Artes, Ciências e Humanidades	2017
http://www.teses.usp.br/teses/disponiveis/100/100131/tde-24122018-011508/?&lang=pt-br	Araújo Junior, Jozias Rolim de	Reconhecimento multibiométrico baseado em imagens de face parcialmente ocluídas	Metodologia e Técnicas da Computação	Dissertação de Mestrado	Escola de Artes, Ciências e Humanidades	2018
http://www.teses.usp.br/teses/disponiveis/livredocencia/55/tde-10102012-103142/?&lang=pt-br	Branco, Kalinka Regina Lucas Jaquie Castelo	Contribuições na área de Sistemas Distribuídos e Redes de Computadores e suas aplicações...	Redes de Computadores	Tese de Livre Docência	Instituto de Ciências Matemáticas e de Computação	2012
